Metric,Category,Company,Quarter,Value,Quarter_Order,FY,Q
RoA,PRIVATE BANK,AXISBANK,Q1-FY25,0.0147,0,FY25,Q1
RoA,PRIVATE BANK,AXISBANK,Q2-FY25,0.0192,1,FY25,Q2
RoA,PRIVATE BANK,AXISBANK,Q3-FY25,0.0164,2,FY25,Q3
RoA,PRIVATE BANK,AXISBANK,Q4-FY25,0.0182,3,FY25,Q4
RoA,PRIVATE BANK,AXISBANK,Q1-FY26,0.0145,4,FY26,Q1
RoA,PRIVATE BANK,AXISBANK,Q2-FY26,0.0123,5,FY26,Q2
RoA,PRIVATE BANK,AXISBANK,Q3-FY26,0.0149,6,FY26,Q3
RoE,PRIVATE BANK,AXISBANK,Q1-FY25,0.1314,0,FY25,Q1
RoE,PRIVATE BANK,AXISBANK,Q2-FY25,0.1808,1,FY25,Q2
RoE,PRIVATE BANK,AXISBANK,Q3-FY25,0.1537,2,FY25,Q3
RoE,PRIVATE BANK,AXISBANK,Q4-FY25,,3,FY25,Q4
RoE,PRIVATE BANK,AXISBANK,Q1-FY26,,4,FY26,Q1
RoE,PRIVATE BANK,AXISBANK,Q2-FY26,0.1106,5,FY26,Q2
RoE,PRIVATE BANK,AXISBANK,Q3-FY26,0.1368,6,FY26,Q3
Yields,PRIVATE BANK,AXISBANK,Q1-FY25,0.085,0,FY25,Q1
Yields,PRIVATE BANK,AXISBANK,Q2-FY25,,1,FY25,Q2
Yields,PRIVATE BANK,AXISBANK,Q3-FY25,,2,FY25,Q3
Yields,PRIVATE BANK,AXISBANK,Q4-FY25,,3,FY25,Q4
Yields,PRIVATE BANK,AXISBANK,Q1-FY26,,4,FY26,Q1
Yields,PRIVATE BANK,AXISBANK,Q2-FY26,,5,FY26,Q2
Yields,PRIVATE BANK,AXISBANK,Q3-FY26,,6,FY26,Q3
Advances (INR Crs),PSU BANK,BANKBARODA,Q1-FY25,1071681.0,0,FY25,Q1
Advances (INR Crs),PSU BANK,BANKBARODA,Q2-FY25,1143000.0,1,FY25,Q2
Advances (INR Crs),PSU BANK,BANKBARODA,Q3-FY25,1173034.0,2,FY25,Q3
Advances (INR Crs),PSU BANK,BANKBARODA,Q4-FY25,1230461.0,3,FY25,Q4
Advances (INR Crs),PSU BANK,BANKBARODA,Q1-FY26,1207056.0,4,FY26,Q1
Advances (INR Crs),PSU BANK,BANKBARODA,Q2-FY26,1279100.0,5,FY26,Q2
Advances (INR Crs),PSU BANK,BANKBARODA,Q3-FY26,1344904.0,6,FY26,Q3
CAR,PSU BANK,BANKBARODA,Q1-FY25,0.1682,0,FY25,Q1
CAR,PSU BANK,BANKBARODA,Q2-FY25,0.1626,1,FY25,Q2
CAR,PSU BANK,BANKBARODA,Q3-FY25,0.1596,2,FY25,Q3
CAR,PSU BANK,BANKBARODA,Q4-FY25,0.1719,3,FY25,Q4
CAR,PSU BANK,BANKBARODA,Q1-FY26,0.1761,4,FY26,Q1
CAR,PSU BANK,BANKBARODA,Q2-FY26,0.1665,5,FY26,Q2
CAR,PSU BANK,BANKBARODA,Q3-FY26,0.1529,6,FY26,Q3
CASA,PSU BANK,BANKBARODA,Q1-FY25,0.4062,0,FY25,Q1
CASA,PSU BANK,BANKBARODA,Q2-FY25,0.3984,1,FY25,Q2
CASA,PSU BANK,BANKBARODA,Q3-FY25,0.3933,2,FY25,Q3
CASA,PSU BANK,BANKBARODA,Q4-FY25,0.3997,3,FY25,Q4
CASA,PSU BANK,BANKBARODA,Q1-FY26,0.3933,4,FY26,Q1
CASA,PSU BANK,BANKBARODA,Q2-FY26,0.3842,5,FY26,Q2
CASA,PSU BANK,BANKBARODA,Q3-FY26,0.3845,6,FY26,Q3
CoFs,PSU BANK,BANKBARODA,Q1-FY25,0.0506,0,FY25,Q1
CoFs,PSU BANK,BANKBARODA,Q2-FY25,0.0512,1,FY25,Q2
CoFs,PSU BANK,BANKBARODA,Q3-FY25,0.0508,2,FY25,Q3
CoFs,PSU BANK,BANKBARODA,Q4-FY25,0.0512,3,FY25,Q4
CoFs,PSU BANK,BANKBARODA,Q1-FY26,0.0505,4,FY26,Q1
CoFs,PSU BANK,BANKBARODA,Q2-FY26,0.0491,5,FY26,Q2
CoFs,PSU BANK,BANKBARODA,Q3-FY26,0.0475,6,FY26,Q3
Cost to Income,PSU BANK,BANKBARODA,Q1-FY25,0.4917,0,FY25,Q1
Cost to Income,PSU BANK,BANKBARODA,Q2-FY25,0.436,1,FY25,Q2
Cost to Income,PSU BANK,BANKBARODA,Q3-FY25,0.4953,2,FY25,Q3
Cost to Income,PSU BANK,BANKBARODA,Q4-FY25,0.4989,3,FY25,Q4
Cost to Income,PSU BANK,BANKBARODA,Q1-FY26,0.4887,4,FY26,Q1
Cost to Income,PSU BANK,BANKBARODA,Q2-FY26,0.5102,5,FY26,Q2
Cost to Income,PSU BANK,BANKBARODA,Q3-FY26,0.521,6,FY26,Q3
Credit Cost,PSU BANK,BANKBARODA,Q1-FY25,0.0047,0,FY25,Q1
Credit Cost,PSU BANK,BANKBARODA,Q2-FY25,0.0065,1,FY25,Q2
Credit Cost,PSU BANK,BANKBARODA,Q3-FY25,0.009,2,FY25,Q3
Credit Cost,PSU BANK,BANKBARODA,Q4-FY25,0.01,3,FY25,Q4
Credit Cost,PSU BANK,BANKBARODA,Q1-FY26,0.0116,4,FY26,Q1
Credit Cost,PSU BANK,BANKBARODA,Q2-FY26,0.0091,5,FY26,Q2
Credit Cost,PSU BANK,BANKBARODA,Q3-FY26,0.0086,6,FY26,Q3
Deposits (INR Crs),PSU BANK,BANKBARODA,Q1-FY25,1306994.0,0,FY25,Q1
Deposits (INR Crs),PSU BANK,BANKBARODA,Q2-FY25,1372600.0,1,FY25,Q2
Deposits (INR Crs),PSU BANK,BANKBARODA,Q3-FY25,1402909.0,2,FY25,Q3
Deposits (INR Crs),PSU BANK,BANKBARODA,Q4-FY25,1472035.0,3,FY25,Q4
Deposits (INR Crs),PSU BANK,BANKBARODA,Q1-FY26,1435634.0,4,FY26,Q1
Deposits (INR Crs),PSU BANK,BANKBARODA,Q2-FY26,1500000.0,5,FY26,Q2
Deposits (INR Crs),PSU BANK,BANKBARODA,Q3-FY26,1546749.0,6,FY26,Q3
GNPA,PSU BANK,BANKBARODA,Q1-FY25,0.0288,0,FY25,Q1
GNPA,PSU BANK,BANKBARODA,Q2-FY25,0.025,1,FY25,Q2
GNPA,PSU BANK,BANKBARODA,Q3-FY25,0.0243,2,FY25,Q3
GNPA,PSU BANK,BANKBARODA,Q4-FY25,0.0226,3,FY25,Q4
GNPA,PSU BANK,BANKBARODA,Q1-FY26,0.0228,4,FY26,Q1
GNPA,PSU BANK,BANKBARODA,Q2-FY26,0.0216,5,FY26,Q2
GNPA,PSU BANK,BANKBARODA,Q3-FY26,0.0204,6,FY26,Q3
Leverage,PSU BANK,BANKBARODA,Q1-FY25,,0,FY25,Q1
Leverage,PSU BANK,BANKBARODA,Q2-FY25,,1,FY25,Q2
Leverage,PSU BANK,BANKBARODA,Q3-FY25,,2,FY25,Q3
Leverage,PSU BANK,BANKBARODA,Q4-FY25,13.2,3,FY25,Q4
Leverage,PSU BANK,BANKBARODA,Q1-FY26,15.2,4,FY26,Q1
Leverage,PSU BANK,BANKBARODA,Q2-FY26,,5,FY26,Q2
Leverage,PSU BANK,BANKBARODA,Q3-FY26,,6,FY26,Q3
NII,PSU BANK,BANKBARODA,Q1-FY25,11600.0,0,FY25,Q1
NII,PSU BANK,BANKBARODA,Q2-FY25,11637.0,1,FY25,Q2
NII,PSU BANK,BANKBARODA,Q3-FY25,11786.0,2,FY25,Q3
NII,PSU BANK,BANKBARODA,Q4-FY25,11020.0,3,FY25,Q4
NII,PSU BANK,BANKBARODA,Q1-FY26,11435.0,4,FY26,Q1
NII,PSU BANK,BANKBARODA,Q2-FY26,11954.0,5,FY26,Q2
NII,PSU BANK,BANKBARODA,Q3-FY26,11800.0,6,FY26,Q3
NIMs,PSU BANK,BANKBARODA,Q1-FY25,0.0318,0,FY25,Q1
NIMs,PSU BANK,BANKBARODA,Q2-FY25,0.0311,1,FY25,Q2
NIMs,PSU BANK,BANKBARODA,Q3-FY25,0.0304,2,FY25,Q3
NIMs,PSU BANK,BANKBARODA,Q4-FY25,0.0286,3,FY25,Q4
NIMs,PSU BANK,BANKBARODA,Q1-FY26,0.0291,4,FY26,Q1
NIMs,PSU BANK,BANKBARODA,Q2-FY26,0.0296,5,FY26,Q2
NIMs,PSU BANK,BANKBARODA,Q3-FY26,0.0279,6,FY26,Q3
NNPA,PSU BANK,BANKBARODA,Q1-FY25,0.0069,0,FY25,Q1
NNPA,PSU BANK,BANKBARODA,Q2-FY25,0.006,1,FY25,Q2
NNPA,PSU BANK,BANKBARODA,Q3-FY25,0.0059,2,FY25,Q3
NNPA,PSU BANK,BANKBARODA,Q4-FY25,0.0058,3,FY25,Q4
NNPA,PSU BANK,BANKBARODA,Q1-FY26,0.006,4,FY26,Q1
NNPA,PSU BANK,BANKBARODA,Q2-FY26,0.0057,5,FY26,Q2
NNPA,PSU BANK,BANKBARODA,Q3-FY26,0.0057,6,FY26,Q3
Opex to AUM,PSU BANK,BANKBARODA,Q1-FY25,,0,FY25,Q1
Opex to AUM,PSU BANK,BANKBARODA,Q2-FY25,,1,FY25,Q2
Opex to AUM,PSU BANK,BANKBARODA,Q3-FY25,,2,FY25,Q3
Opex to AUM,PSU BANK,BANKBARODA,Q4-FY25,,3,FY25,Q4
Opex to AUM,PSU BANK,BANKBARODA,Q1-FY26,,4,FY26,Q1
Opex to AUM,PSU BANK,BANKBARODA,Q2-FY26,,5,FY26,Q2
Opex to AUM,PSU BANK,BANKBARODA,Q3-FY26,,6,FY26,Q3
Other Income,PSU BANK,BANKBARODA,Q1-FY25,2479.0,0,FY25,Q1
Other Income,PSU BANK,BANKBARODA,Q2-FY25,5181.0,1,FY25,Q2
Other Income,PSU BANK,BANKBARODA,Q3-FY25,3400.0,2,FY25,Q3
Other Income,PSU BANK,BANKBARODA,Q4-FY25,5210.0,3,FY25,Q4
Other Income,PSU BANK,BANKBARODA,Q1-FY26,4675.0,4,FY26,Q1
Other Income,PSU BANK,BANKBARODA,Q2-FY26,3515.0,5,FY26,Q2
Other Income,PSU BANK,BANKBARODA,Q3-FY26,3600.0,6,FY26,Q3
PAT (INR Crs),PSU BANK,BANKBARODA,Q1-FY25,4458.0,0,FY25,Q1
PAT (INR Crs),PSU BANK,BANKBARODA,Q2-FY25,5238.0,1,FY25,Q2
PAT (INR Crs),PSU BANK,BANKBARODA,Q3-FY25,4837.0,2,FY25,Q3
PAT (INR Crs),PSU BANK,BANKBARODA,Q4-FY25,5048.0,3,FY25,Q4
PAT (INR Crs),PSU BANK,BANKBARODA,Q1-FY26,4541.0,4,FY26,Q1
PAT (INR Crs),PSU BANK,BANKBARODA,Q2-FY26,4809.0,5,FY26,Q2
PAT (INR Crs),PSU BANK,BANKBARODA,Q3-FY26,5055.0,6,FY26,Q3
PCR,PSU BANK,BANKBARODA,Q1-FY25,0.9332,0,FY25,Q1
PCR,PSU BANK,BANKBARODA,Q2-FY25,0.7631,1,FY25,Q2
PCR,PSU BANK,BANKBARODA,Q3-FY25,0.9351,2,FY25,Q3
PCR,PSU BANK,BANKBARODA,Q4-FY25,0.9329,3,FY25,Q4
PCR,PSU BANK,BANKBARODA,Q1-FY26,0.9318,4,FY26,Q1
PCR,PSU BANK,BANKBARODA,Q2-FY26,0.9321,5,FY26,Q2
PCR,PSU BANK,BANKBARODA,Q3-FY26,0.9273,6,FY26,Q3
RoA,PSU BANK,BANKBARODA,Q1-FY25,0.0113,0,FY25,Q1
RoA,PSU BANK,BANKBARODA,Q2-FY25,0.013,1,FY25,Q2
RoA,PSU BANK,BANKBARODA,Q3-FY25,0.0115,2,FY25,Q3
RoA,PSU BANK,BANKBARODA,Q4-FY25,0.0116,3,FY25,Q4
RoA,PSU BANK,BANKBARODA,Q1-FY26,0.0103,4,FY26,Q1
RoA,PSU BANK,BANKBARODA,Q2-FY26,0.0107,5,FY26,Q2
RoA,PSU BANK,BANKBARODA,Q3-FY26,0.0109,6,FY26,Q3
RoE,PSU BANK,BANKBARODA,Q1-FY25,0.1745,0,FY25,Q1
RoE,PSU BANK,BANKBARODA,Q2-FY25,0.1922,1,FY25,Q2
RoE,PSU BANK,BANKBARODA,Q3-FY25,0.1701,2,FY25,Q3
RoE,PSU BANK,BANKBARODA,Q4-FY25,0.1749,3,FY25,Q4
RoE,PSU BANK,BANKBARODA,Q1-FY26,0.1505,4,FY26,Q1
RoE,PSU BANK,BANKBARODA,Q2-FY26,0.1537,5,FY26,Q2
RoE,PSU BANK,BANKBARODA,Q3-FY26,0.1559,6,FY26,Q3
Yields,PSU BANK,BANKBARODA,Q1-FY25,0.0855,0,FY25,Q1
Yields,PSU BANK,BANKBARODA,Q2-FY25,0.0848,1,FY25,Q2
Yields,PSU BANK,BANKBARODA,Q3-FY25,0.0835,2,FY25,Q3
Yields,PSU BANK,BANKBARODA,Q4-FY25,0.0821,3,FY25,Q4
Yields,PSU BANK,BANKBARODA,Q1-FY26,0.0809,4,FY26,Q1
Yields,PSU BANK,BANKBARODA,Q2-FY26,0.0781,5,FY26,Q2
Yields,PSU BANK,BANKBARODA,Q3-FY26,0.0756,6,FY26,Q3
Advances (INR Crs),PSU BANK,BANKINDIA,Q1-FY25,600264.0,0,FY25,Q1
Advances (INR Crs),PSU BANK,BANKINDIA,Q2-FY25,621919.0,1,FY25,Q2
Advances (INR Crs),PSU BANK,BANKINDIA,Q3-FY25,651507.0,2,FY25,Q3
Advances (INR Crs),PSU BANK,BANKINDIA,Q4-FY25,666047.0,3,FY25,Q4
Advances (INR Crs),PSU BANK,BANKINDIA,Q1-FY26,672444.0,4,FY26,Q1
Advances (INR Crs),PSU BANK,BANKINDIA,Q2-FY26,709145.0,5,FY26,Q2
Advances (INR Crs),PSU BANK,BANKINDIA,Q3-FY26,740314.0,6,FY26,Q3
CAR,PSU BANK,BANKINDIA,Q1-FY25,0.1618,0,FY25,Q1
CAR,PSU BANK,BANKINDIA,Q2-FY25,0.1663,1,FY25,Q2
CAR,PSU BANK,BANKINDIA,Q3-FY25,0.16,2,FY25,Q3
CAR,PSU BANK,BANKINDIA,Q4-FY25,0.1777,3,FY25,Q4
CAR,PSU BANK,BANKINDIA,Q1-FY26,0.1739,4,FY26,Q1
CAR,PSU BANK,BANKINDIA,Q2-FY26,0.1669,5,FY26,Q2
CAR,PSU BANK,BANKINDIA,Q3-FY26,0.1709,6,FY26,Q3
CASA,PSU BANK,BANKINDIA,Q1-FY25,0.4268,0,FY25,Q1
CASA,PSU BANK,BANKINDIA,Q2-FY25,0.4118,1,FY25,Q2
CASA,PSU BANK,BANKINDIA,Q3-FY25,0.4105,2,FY25,Q3
CASA,PSU BANK,BANKINDIA,Q4-FY25,0.4029,3,FY25,Q4
CASA,PSU BANK,BANKINDIA,Q1-FY26,0.3988,4,FY26,Q1
CASA,PSU BANK,BANKINDIA,Q2-FY26,0.3939,5,FY26,Q2
CASA,PSU BANK,BANKINDIA,Q3-FY26,0.3797,6,FY26,Q3
CoFs,PSU BANK,BANKINDIA,Q1-FY25,0.0481,0,FY25,Q1
CoFs,PSU BANK,BANKINDIA,Q2-FY25,0.0494,1,FY25,Q2
CoFs,PSU BANK,BANKINDIA,Q3-FY25,0.0481,2,FY25,Q3
CoFs,PSU BANK,BANKINDIA,Q4-FY25,0.0473,3,FY25,Q4
CoFs,PSU BANK,BANKINDIA,Q1-FY26,0.0466,4,FY26,Q1
CoFs,PSU BANK,BANKINDIA,Q2-FY26,0.0484,5,FY26,Q2
CoFs,PSU BANK,BANKINDIA,Q3-FY26,0.0457,6,FY26,Q3
Cost to Income,PSU BANK,BANKINDIA,Q1-FY25,0.5147155866437905,0,FY25,Q1
Cost to Income,PSU BANK,BANKINDIA,Q2-FY25,0.5122,1,FY25,Q2
Cost to Income,PSU BANK,BANKINDIA,Q3-FY25,0.5263,2,FY25,Q3
Cost to Income,PSU BANK,BANKINDIA,Q4-FY25,0.485196501949215,3,FY25,Q4
Cost to Income,PSU BANK,BANKINDIA,Q1-FY26,0.5131163468545057,4,FY26,Q1
Cost to Income,PSU BANK,BANKINDIA,Q2-FY26,0.5302,5,FY26,Q2
Cost to Income,PSU BANK,BANKINDIA,Q3-FY26,0.5202,6,FY26,Q3
Credit Cost,PSU BANK,BANKINDIA,Q1-FY25,0.0085,0,FY25,Q1
Credit Cost,PSU BANK,BANKINDIA,Q2-FY25,0.0097,1,FY25,Q2
Credit Cost,PSU BANK,BANKINDIA,Q3-FY25,0.0039,2,FY25,Q3
Credit Cost,PSU BANK,BANKINDIA,Q4-FY25,0.0084,3,FY25,Q4
Credit Cost,PSU BANK,BANKINDIA,Q1-FY26,0.0068,4,FY26,Q1
Credit Cost,PSU BANK,BANKINDIA,Q2-FY26,0.0028,5,FY26,Q2
Credit Cost,PSU BANK,BANKINDIA,Q3-FY26,0.0034,6,FY26,Q3
Deposits (INR Crs),PSU BANK,BANKINDIA,Q1-FY25,764396.0,0,FY25,Q1
Deposits (INR Crs),PSU BANK,BANKINDIA,Q2-FY25,775181.0,1,FY25,Q2
Deposits (INR Crs),PSU BANK,BANKINDIA,Q3-FY25,794788.0,2,FY25,Q3
Deposits (INR Crs),PSU BANK,BANKINDIA,Q4-FY25,816541.0,3,FY25,Q4
Deposits (INR Crs),PSU BANK,BANKINDIA,Q1-FY26,833698.0,4,FY26,Q1
Deposits (INR Crs),PSU BANK,BANKINDIA,Q2-FY26,853301.0,5,FY26,Q2
